age_group,answer,options,question
16-18, Option C,"A.  Keyboard,B.  Plotter,C.  Scanner,D.  OMR","A light sensitive device that converts drawing, printed text or other images into digital form is"
16-18, Option B,"E.  None of these,A.  FTP,B.  SMTP,C.  TELNET",Which protocol provides e-mail facility among different hosts?
16-18, Option A,"D.  SNMP,E.  None of these,A.  John Von Neumann,B.  Charles Babbage",The basic architecture of computer was developed by
16-18, Option D,"C.  Blaise Pascal,D.  Garden Moore,E.  None of these,A.  $","In order to tell Excel that we are entering a formula in cell, we must begin with an operator such as"
16-18, Option C,"B.  @,C.  +,D.  =,E.  #",In how many generations a computer can be classified?
11-12, Option A,"A.  Chicken,B.  Snake,C.  Swan,D.  Crocodile",Choose the word which is different from the rest.
11-12, Option D,"E.  Frog,A.  Cap,B.  Turban,C.  Helmet",Choose the word which is different from the rest.
11-12, Option B,"D.  Veil,E.  Hat,A.  Kiwi,B.  Eagle",Choose the word which is different from the rest.
11-12, Option D,"C.  Emu,D.  Ostrich,E.  Penguin,A.  Rigveda",Choose the word which is different from the rest.
11-12, Option C,"B.  Yajurveda,C.  Atharvaveda,D.  Ayurveda,E.  Samveda",Choose the word which is different from the rest.
13-15, Option B,"A.  B,B.  A,C.  H,D.  D","In a lake, there are 10 steps labelled using alphabets from A to J. Starting from step A, every minute a frog jumps to the 4th step from where it started - that is from the step A it would go to the step E and from E it would go to the step I and from I it would go to C etc. Where would the frog be at the 60th minute if it starts at the step A ?"
13-15, Option A,"E.  E,A.  8 , 6,B.  6 , 4,C.  6 , 8","In a family there are several brothers and sisters. Every 2 boys have brothers as many as sisters and each girl has 2 brothers less than twice as many brothers as sisters. Now find the number of boys and girls.

"
13-15, Option C,"D.  12 , 10,A.  18,B.  19,C.  20","In a row of trees, a tree is 7"
13-15, Option A,"D.  21,A.  B,B.  F,C.  C", from left end and 14
13-15, Option B,"D.  D,A.  12,B.  14,C.  15",  from right end. How many tree are there in the row ?
13-15, Option B,"A.  Q,B.  R,C.  S,D.  P",In a certain code FIRE is coded as DGPC. What will be the last letter of the coded word for SHOT.
13-15, Option D,"A.  3,B.  4,C.  6,D.  0","If TOUR is written in a certain code as 1234, CLEAR as 56784 and SPARE as 90847, what will be the 5"
13-15, Option C,"A.  LIGFT,B.  LGGHT,C.  LGGFT,D.  LLGFE", digit for SCULPTURE in the same code ?
13-15, Option B,"A.  SUITER,B.  VIOUER,C.  WALKER,D.  SUFFER","If in a certain language PROSE is coded as PPOQE, how is LIGHT coded in that code ?"
13-15, Option A,"A.  BGYEPYK,B.  BGYPYEK,C.  GLPEYKB","If SUMMER is coded RUNNER, the code for WINTER is"
16-18, Option C,"A.  Bjarne Stroustrup,B.  James A. Gosling,C.  Dennis Ritchie,D.  Dr. E.F. Codd","
"
16-18, Option A,"A.  AT & T's Bell Laboratories of USA in 1972,B.  AT & T's Bell Laboratories of USA in 1970,C.  Sun Microsystems in 1973,D.  Cambridge University in 1972","
"
16-18, Option D,"A.  -3.4e38 to 3.4e38,B.  -32767 to 32768,C.  -32668 to 32667,D.  -32768 to 32767","For 16-bit compiler allowable range for integer constants is ________?
"
16-18, Option B,"A.  An Editor,B.  A compiler,C.  An operating system,D.  None of these.","
"
16-18, Option A,"A.  System programming language,B.  General purpose language,C.  Data processing language","
"
11-12, Option D,"A.  100,B.  91,C.  64,D.  81", What will come at the place of question mark ?
11-12, Option D,"A.  49,B.  36,C.  30,D.  39","1, 9, 25, 49, ?, 121.
"
11-12, Option C,"A.  91,B.  51,C.  81,D.  42",What will come at the place of question mark?
11-12, Option A,"A.  430,B.  420,C.  410,D.  400","
4, 7, 12, 19, 28, ?

"
11-12, Option C,"A.  1752,B.  3504,C.  3508",What will come at the place of question mark ?
11-12, Option B,"A.  True,B.  False,A.  In traditional XHTML close tag for some elements is optional but not encouraged,B.  In traditional HTML close tag for some elements is optional but not encouraged",State whether the given statement is true or false. !DOCTYPE is case sensitive”
11-12, Option B,"C.  None of the mentioned,D.  In both traditional XHTML and HTML close tag for some elements is optional,A.  Charset in html is “text/html” where as in xhtml it is “application/xml+xhtml”,B.  None of the mentioned",Choose the correct statement of HTML
11-12, Option B,"C.  Tags and attributes are case-insensitive in HTML but not in XHTML,D.  Special characters must be escaped using character entities in XHTML unlike HTML,A.  The extension of the file “.html”,B.  The “content-type” header",Which of the following is not a difference between HTML and XHTML
11-12, Option B,"C.  Both “.html” extension and “content-type” header,D.  None of the mentioned,A.  True",What indicates the content in file is HTML when delivered on the network.
11-12, Option B,,State whether the given statement is true or false. “We can intermix XHTML and HTML 4.01 documents”
09-10, Option A,"A.  22,B.  24,C.  26,D.  28","If a * b = 2a - 3b + ab, then 3 * 5 + 5 * 3 is equal to?"
09-10, Option C,"A.  6,B.  10,C.  14,D.  16","If $$p \times q = p + q + \frac{p}{q}{\text{,}}$$    then the value of 8 × 2 is?"
09-10, Option D,"A.  $$1 + \frac{1}{{x + 4}}$$,B.  x + 4,C.  $$\frac{1}{x}$$,D.  $$\frac{{x + 4}}{x}$$",The value of $$\left( {{\text{1 + }}\frac{1}{x}} \right)$$ $$\left( {{\text{1 + }}\frac{1}{{x + 1}}} \right)$$  $$\left( {{\text{1 + }}\frac{1}{{x + 2}}} \right)$$  $$\left( {{\text{1 + }}\frac{1}{{x + 3}}} \right)$$   is?
09-10, Option A,"A.  $$\frac{{20}}{{27}}$$,B.  $$\frac{{27}}{{20}}$$,C.  $$\frac{6}{8}$$,D.  $$\frac{8}{6}$$","If $$\frac{a}{b}{\text{ = }}\frac{2}{3}$$   and $$\frac{b}{c}{\text{ = }}\frac{4}{5}{\text{,}}$$   then the ration $$\frac{{a + b}}{{b + c}}$$   equal to?"
09-10, Option C,"A.  $$\frac{5}{9}$$,B.  $$\frac{2}{7}$$,C.  $$\frac{{10}}{9}$$","If $$\frac{{2a + b}}{{a + 4b}} = 3{\text{,}}$$   then find the value of $$\frac{{a + b}}{{a + 2b}} = ?$$"
13-15, Option D,"A.  PRQS,B.  PRSQ,C.  QSRP,D.  QSPR",S
13-15, Option D,"A.  PRSQ,B.  PSQR,C.  SQRP,D.  RPSQ",:	A force of exists between everybody in the universe.
13-15, Option B,"A.  SRQP,B.  QSPR,C.  SQRP,D.  QPSR","
P :	Normally it is very small but when the one of the bodies is a planet, like earth, the force is considerable."
13-15, Option D,"A.  PQRS,B.  PQSR,C.  QPSR,D.  QPRS","
Q :	It has been investigated by many scientists including Galileo and Newton."
13-15, Option A,"A.  SRQP,B.  QPSR,C.  RSPQ","
R :	Everything on or near the surface of the earth is attracted by the mass of earth."
16-18, Option A,"A.  Artificial Intelligence,B.  Programming Intelligence,C.  System Knowledge,D.  VVLSI",Fifth generation computers are based on
16-18, Option D,"E.  None of these,A.  Transistor,B.  LSI,C.  VLSI",First generation of computer was based on which technology?
16-18, Option B,"D.  Vaccum Tube,E.  None of these,A.  Second Generation,B.  Fourth Generation",Microprocessor was introduced in which generation of computer?
16-18, Option B,"C.  Both (A) and (B),D.  Third Generation,E.  Allof these,A.  Vaccum Tubes",Second generation computers are made of
16-18, Option C,"B.  Transistors,C.  LSI,D.  VLSI,E.  None of these",Which of the following memory is non-volatile?
11-12, Option A,"A.  Potassium,B.  Silicon,C.  Zirconium,D.  Gallium",Choose the word which is different from the rest.
11-12, Option E,"E.  Germanium,A.  Tea,B.  Cinchona,C.  Rubber",Choose the word which is different from the rest.
11-12, Option D,"D.  Cardamom,E.  Chalk,A.  Hangar,B.  Platform",Choose the word which is different from the rest.
11-12, Option B,"C.  Dock,D.  Park,E.  Bus stand,A.  Sparrow",Choose the word which is different from the rest.
11-12, Option D,"B.  Swan,C.  Parrot,D.  Koel,E.  Parrot",Choose the word which is different from the rest.
13-15, Option B,"A.  15 years,B.  18 years,C.  13 years,D.  7 years","Shan is 55 years old, Sthian is 5 years junior to Shan and 6 years senior to Balan. The youngest brother of Balan is Devan and he is 7 years junior to him. So what is the age difference between Devan and Shan ?"
13-15, Option C,"A.  Rs.58,B.  Rs.35,C.  Rs.42,D.  Rs.72","Rohit was walking on the street, one boy requested him to donate for cancer patients welfare fund. He gave him a rupee more than half the money he had. He walked a few more steps. Then came a girl who requested him to donate for poor people's fund for which he gave two rupees more than half the money he had then. After that, again a boy approached him for an orphanage fund. He gave three rupees more than half of what he had. At last he had just one rupee remaining in his hand.
How much amount did Ram have in his pocket when he started?

"
13-15, Option A,"A.  Volleyball	,B.  Basketball ,C.  Hockey,D.  Cricket","If Football is called Cricket, Cricket is called Basketball, Basketball is called Badminton, Badminton is called Volleyball, Volleyball is called Hockey and Hockey is called Golf, then which of the following games is not played using a ball?
			

"
13-15, Option C,"A.  1,B.  2,C.  3,D.  4","If each of the digits in the number 92581473 is arranged in ascending order, what will be the difference between the digits which are fourth from the right and third from left in the new arrangement? The ascending order of the number is 123456789.
"
13-15, Option D,"A.  One,B.  Two ,C.   Three","Each vowel of the GLADIOLUS  word is substituted with the next letter of the English alphabetical series and each consonant is substituted with the letters preceding it. How many vowels will be present in the new arrangement?
 	
"
13-15, Option C,"A.  FEMALS,B.  FALMES,C.  FMELAS,D.  FALEMS","In a certain language PRACTICE is coded as PICCTRAE, how is FLAMES coded in that code ? "
13-15, Option B,"A.  BARED,B.  BREAD,C.  BRADE,D.  BRAED","If the KNIFE is coded as MPKHG, what do the letters DTGCF stand for ?"
13-15, Option B,"A.  BSPTR,B.  BSNTR,C.  BNSTR,D.  BSNRT","If the letters GBOQX stand for HAPPY , for which word the letters CROSS stand for ?"
13-15, Option B,"A.  923,B.  524,C.  342,D.  872","If in a certain language SISTER is coded as 535301 , UNCLE is coded as 84670 and BOY as 129 , how son is coded ?"
13-15, Option D,"A.  SHOOP,B.  SHOOL,C.  SCOOL","If HARD is coded s 1357 and SOFT is coded as 2468, what do the figures 21448 stand for ?"
16-18, Option B,"A.  30,B.  32,C.  24,D.  36","
"
16-18, Option C,"E.  40,A.  auto,B.  case,C.  main","
"
16-18, Option C,"D.  default,E.  register,A.  A number,B.  A special symbol other than underscore","
"
16-18, Option B,"C.  Both of the above,D.  An alphabet,A.  _examveda,B.  1examveda","
"
16-18, Option D,"C.  exam_veda,D.  examveda1,A.  absiha,B.  asiha","

"
11-12, Option C,"A.  62,B.  128,C.  479,D.  575",What will come at the place of question mark ?
11-12, Option B,"A.  391,B.  511,C.  481,D.  421","3, 7, 23, 95, ?
"
11-12, Option E,"A.  390,B.  420,C.  435,D.  375",What will come at the place of question mark ?
11-12, Option A,"E.  Two answer out of four option,A.  78,B.  73,C.  82","7, 26, 63, 124, 215, 342, ?
"
11-12, Option B,"D.  84,A.  8,B.  10,C.  4",What will come at the place of question mark ?
09-10, Option B,"A.  6,B.  8,C.  10,D.  12","If a * b = a + b + ab, then 3 * 4 - 2 * 3 is equal to?"
09-10, Option B,"A.  4 : 9 : 45,B.  16 : 36 : 45,C.  16 : 36 : 20,D.  4 : 36 : 40","If a : b = 2 : 3 and b : c = 4 : 5, find a"
09-10, Option C,"A.  6 : 4 : 8 : 10,B.  6 : 8 : 9 : 10,C.  8 : 6 : 10 : 9,D.  4 : 6 : 8 : 10", : b
09-10, Option C,"A.  8 : 9 : 16,B.  8 : 9 : 12,C.  8 : 9 : 24,D.  4 : 9 : 16", : bc = ?
09-10, Option D,"A.  144,B.  14.4,C.  1.44","If $${\text{A}}:{\text{B}} = \frac{1}{2}:\frac{3}{8}{\text{,}}$$    $${\text{B}}:{\text{C}} = \frac{1}{3}:\frac{5}{9}$$   and  $${\text{C}}:{\text{D}} = \frac{5}{6}:\frac{3}{4}{\text{,}}$$     then find the ratio of A : B : C : D = ?"
13-15, Option C,"A.  PSRQ,B.  SPQR,C.  QPRS,D.  RSPQ",S
13-15, Option A,"A.  QPRS,B.  QSPR,C.  PQRS,D.  PQSR",":	You know my wife, Madhavi, always urged me to give up smoking."
13-15, Option A,"A.  SRPQ,B.  RQPS,C.  SPQR,D.  PQSR","
P :	I really gave it up."
13-15, Option D,"A.  RQPS,B.  QPRS,C.  RSQP,D.  SPQR","
Q :	And so When I went to jail I said to myself I really must give it up, if for no other reason than of being self-reliant."
13-15, Option C,"A.  PQRS,B.  PRQS,C.  SRPQ","
R :	When I emerged from jail, I wanted to tell her of my great triumph."
16-18, Option C,"A.  Graph Use Interface,B.  Graphical Universal Interface,C.  Graphical User Interface,D.  Graphical Unique Interface",GUI stands for
16-18, Option C,"E.  None of these,A.  Storage,B.  Output,C.  Input",Any data or instruction entered into the memory of a computer is considered as
16-18, Option A,"D.  Information,E.  None of these,A.  Execution Time,B.  Delay Time",Time during which a job is processed by the computer is:
16-18, Option B,"C.  Real Time,D.  Waiting Time,E.  None of these,A.  Rectifier",Which of the following circuit is used as a 'Memory device' in computers?
16-18, Option D,"B.  Flip Flop,C.  Comparator,D.  Attenuator,E.  None of these",The memory sizes in mainframe computers and advanced technology micro computer are expressed as
13-15, Option A,"A.  953601347,B.  567903417,C.  953016347,D.  953603741","If TOUR is coded as 1234, CLEAR is coded 56784 and SPARE  as 90847, how will the word SCULPTURE be coded ?"
13-15, Option D,"A.  N ,M,B.  M ,N,C.  Q ,P,D.  P ,Q","If BOX is coded as CDPQYZ, what will be the last two letters of word in the same code for HERO ?"
13-15, Option A,"A.  18, 23,B.  14, 19,C.  16, 21,D.  15, 20",Find the correct option for the blank space .
13-15, Option C,"A.  Dust,B.  Fire,C.  Colour,D.  Water","
"
13-15, Option C,"A.  BOX,B.  PENCIL,C.  SHARPENER","If Dust is called Air, Air is called Fire, Fire is called Water, Water is called Colour, Colour is called Rain and Rain is called Dust, where do Fish live ?"
16-18, Option A,"A.  2, – 1 B. ,2  – 1,C.  2","If integer needs two bytes of storage, then maximum value of an unsigned integer is
"
16-18, Option C,"D.  2,E.  None of these,A.  1,B.  -1","What is the correct value to return to the operating system upon the successful completion of a program?
"
16-18, Option C,"C.  0,D.  Program do no return a value.,E.  2,A.  start()","Which is the only function all C programs must contain?
"
16-18, Option B,"B.  system(),C.  main(),D.  printf(),E.  getch()","Which of the following is not a correct variable type?
"
16-18, Option B,"A.  float,B.  real,C.  int,D.  double","What number would be shown on the screen after the following statements of C are executed?

"
13-15, Option D,"A.  No such letters,B.  One,C.  Two,D.  Three","How many such pairs of letters are there in the word SENDING, each of which has as many letters between its two letters as there are between them in the English alphabets?
	 	 	

"
13-15, Option C,"A.  21,B.  28,C.  14,D.  25","A lad was asked his age by his friend . The lad said, ""The number you get when you subtract 25 times my age from twice the square of my age will be thrice your age"". If the friend's age is 14, then the age of the lad is : "
13-15, Option C,"A.  54,B.  50,C.  48,D.  45","A Parking lot Contains 160 Vehicles. Each Vehicle is either a car or a truck, and each vehicle is either red or green. 70 vehicles are red, and 120 vehicles are cars. If there are 18 green trucks, how many red cars are there?"
13-15, Option B,"A.  22 Cows,B.  20 Cows,C.  18 Cows,D.  16 Cows",Grass in lawn grows equally thick and in a uniform rate. It takes 24 days for 70 cows and 60 days for 30 cows to eat the whole of the grass. How many cows are needed to eat the grass in 96 days?
13-15, Option D,"A.  Prabir,B.  Mihir,C.  Mohan","Mohan is older than Prabir. Suresh is younger than Prabir. Mihir is older than Suresh, but younger than Prabir. Who among the four is youngest?
"
11-12, Option A,"A.  1060,B.  1950,C.  450,D.  1350",In the following number series a wrong number is given. Find out the wrong number.
11-12, Option A,"E.  750,A.  	2276,B.  2516,C.  2356","
150, 450, 750, 1060,1350,1650,1950
"
11-12, Option B,"D.  2456,A.  124,B.  122,C.  120",What will come at the place of question mark ?
11-12, Option A,"D.  118,A.  22,B.  21,C.  20","5690, 5121, 4552, 3983, 3414, 2845, ?
"
11-12, Option C,"D.  16,A.  117,B.  119,C.  129",What will come at the place of question mark ?
11-12, Option E,"A.  Pear,B.  Apple,C.  Litchi,D.  Guava",Choose the word which is different from the rest.
11-12, Option B,"E.  Orange,A.  Dagger,B.  Hammer,C.  Knife",Choose the word which is different from the rest.
11-12, Option D,"D.  Sword,E.  Blade,A.  Kanpur,B.  Allahabad",Choose the word which is different from the rest.
11-12, Option C,"C.  Varanasi,D.  Mathura,E.  Ghazipur,A.  Oyster",Choose the word which is different from the rest.
11-12, Option B,"B.  Clam,C.  Scallop,D.  Mussel,E.  Mast",Choose the word which is different from the rest.
09-10, Option B,"A.  1,B.  2,C.  3,D.  2x - 4","If 1 < x < 2, then the value of $$\sqrt {{{\left( {x - 1} \right)}^2}} {\text{ + }}\sqrt {{{\left( {3 - x} \right)}^2}} {\text{ is?}}$$"
09-10, Option C,"A.  12,B.  35,C.  42,D.  50","If a ⊕ b = (a × b) + b, then 5 ⊕ 7 equals to?"
09-10, Option C,"A.  1.45,B.  1.88,C.  2.9,D.  3.7",Given that 10
09-10, Option C,"A.  53.6003,B.  53.603,C.  153.6003,D.  213.0003"," = x, 10"
09-10, Option B,"A.  93,B.  103,C.  113", = y and x
11-12, Option A,"A.  Hyper Text Markup Language and EXtensible HyperText Markup Language,B.  Hyper Text Markup Language and EXtensible HyperText Marking Language,C.  Hyper Text Marking Language and EXtensible HyperText Marking Language,D.  None of the mentioned",HTML and XHTML stands for
11-12, Option C,"A.  h6,B.  heading,C.  h1,D.  head",Choose the correct tag for largest heading in HTML.
11-12, Option A,"A.  table, thead, tr, td,B.  colspan, table, tr,C.  table, tt, tr, td,D.  none of the mentioned",Which of the following are table tags?
11-12, Option B,"A.  width=80,B.  width=”80″,C.  WIDTH=”80″,D.  WIDTH=80",Choose the correct XHTML for width attribute and its value.
11-12, Option B,"A.  i,B.  ii,C.  i and ii","Which of the following options follows content model in HTML?
"
13-15, Option C,"A.  Dusk,B.  Dark,C.  Sunshine,D.  Night","If LIGHT is called MORNING, MORNING is called DARK, DARK is called NIGHT, NIGHT is called SUNSHINE and SUNSHINE is called DUSK, when do we sleep ?"
13-15, Option D,"A.  Butler,B.  Woman,C.  Man,D.  Rogue","If a MAN is called GIRL, GIRL is called WOMAN, WOMAN is called BOY, BOY is called BUTLER and BUTLER is called ROGUE, who will serve in a restaurant ?"
13-15, Option D,"A.  Quo,B.  Lai,C.  Cui,D.  Heer","If,
(a) QUO CUI HEER means BOY IS GOOD.
(b) LAI QUO MEA means SITA IS FAIR.
(c) RUO LEV MEA means ALL ARE FAIR.
(d) SI HAI CUI means DOG WAS GOOD.
then which of the following words stands for BOY ?"
13-15, Option D,"A.  Chunk,B.  Din,C.  Dink,D.  Shunk","If,
(A) CHIP DIN CHUNK means STUDENT ATTENDS CLASS.
(B) DIN SHUNK DINK means ARJUN IS STUDENT.
(C) JUMP MINK SINK means SCHOOLS ARE GOOD.
(D) DINK MUP CHIMP means  TEACHER IS TEACHING.
Then which one of the following is used for Arjun ?"
13-15, Option A,"A.  8,B.  2,C.  9","1 3 4 means GOOD AND TASTY.
4 7 8 means SEE GOOD PICTURES.
7 2 9 means PICTURES ARE FAINT.
Which of the following stand for SEE ?"
13-15, Option A,"A.  SPQR,B.  SPRQ,C.  PSRQ,D.  PQRS",S
13-15, Option A,"A.  QSPR,B.  PSRQ,C.  QRSP,D.  RPQS",:	The Hound of Baskervilles was feared by the people of the area.
13-15, Option A,"A.  SQPR,B.  SPRQ,C.  SQRP,D.  SRQP","
P :	Some people spoke of seeing a huge, shadowy form a Hound at midnight on the moor."
13-15, Option C,"A.  PSRQ,B.  RSQP,C.  RSPQ,D.  SQRP","
Q :	But they spoke of it in tones of horror."
13-15, Option B,"A.  QRSP,B.  RPSQ,C.  PRSQ","
R :	Nobody had actually seen the hound."
16-18, Option C,"A.  Examveda,B.  Exam_veda,C.  Exam veda,D.  Both A and B","Which of following is not a valid name for a C variable?
"
16-18, Option E,"E.  None of these,A.  0289,B.  1289,C.  713",Find the output of the following program. 
16-18, Option A,"D.  0713,E.  Syntax error,A.  53 65,B.  65 65","
"
16-18, Option E,"C.  065 65,D.  053 65,E.  Syntax error,A.  1","Find the output of the following program.

"
16-18, Option D,"B.  2,C.  3,D.  4,E.  0","
"
13-15, Option B,"A.  14 years,B.  22 years,C.  20 years,D.  18 years ","A man is 24 years, older than his son. In two years, his age will be twice the age of his son. The present age of his son is
"
13-15, Option B,"A.  15,B.  18,C.  20,D.  25","A family went for a vacation. Unfortunately, it rained daily for 13 days when they were there. But whenever it rained in the mornings, they had clear afternoons and vice versa. In all, they enjoyed 11 mornings and 12 afternoons. How many days in all did they stay there?
"
13-15, Option B,"E.  None of these ,A.  M,B.  N,C.  P",M scores more run than N but less than P. Q scores more than N but less than M. Who is the lowest scorer?
13-15, Option B,"D.  Q,A.  Satish,B.  Girish,C.  Harish",Harish sits on the right of Satish. Satish sits between Manish and Girish. Who sits farthest to the right?
13-15, Option D,"D.  Manish,A.  W,B.  P,C.  S",If we substitute 1 to 24 indicating hours on the dial of a clock day and night by the letters of the English alphabet their order starting with 
11-12, Option B,"A.  47,B.  42,C.  45,D.  50",What will come at the place of question mark ?
11-12, Option D,"A.  129,B.  21,C.  10,D.  356","2, 3, 6, 15, ?, 123
"
11-12, Option B,"A.  316,B.  1135,C.  1288,D.  2254",In the following number series a wrong number is given. Find out the wrong number.
11-12, Option B,"A.  1262,B.  1707,C.  4027,D.  4207","
"
11-12, Option A,"A.  Sunday, Sunday,B.  Sunday, Monday,C.  Sunday, Wednesday","
1, 3, 10, 21, 64, 129, 356, 777
"
11-12, Option B,"A.  Producer,B.  Director,C.  Investor,D.  Financier",Choose the word which is different from the rest.
11-12, Option C,"E.  Entrepreneur,A.  Tricycle,B.  Trident,C.  Trifle",Choose the word which is different from the rest.
11-12, Option D,"D.  Tricolour,E.  Trilogy,A.  Chameleon,B.  Crocodile",Choose the word which is different from the rest.
11-12, Option A,"C.  Alligator,D.  Locust,E.  Salamander,A.  Calendar",Choose the word which is different from the rest.
11-12, Option D,"B.  Year,C.  Date,D.  Month,E.  Day",Choose the word which is different from the rest.
16-18, Option A,"A.  Red Hat Linux,B.  Microsoft Office,C.  Adobe Pagemaker,D.  Open Office",Which one of the following is not an application software package?
16-18, Option C,"E.  None of these,A.  Photoshop is a graphical design tool by Adobe,B.  Linux is free and open source software,C.  Linux is owned and sold by Microsoft",Which of the following statement is wrong?
